Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Forest area (% of land area),AG.LND.FRST.ZS,Afghanistan,AFG,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Albania,ALB,28.7883207223711,28.0766418902543,28.3321163428091,28.2970812720974,28.2620439738253,28.2270066755531,28.1919716048415,28.1569343065693,28.1218970082972,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Algeria,DZA,0.699908470278032,0.662960692602887,0.805293608874184,0.808484543059251,0.811675477244317,0.814866462681959,0.818057396867022,0.821248331052088,0.824439265237154,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,American Samoa,ASM,91.949996948242,90.2499961853025,88.5499954223635,88.400001525879,88.199996948242,88.050003051758,87.8999996185305,87.7000045776365,87.5,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Andorra,AND,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,34.0425531914894,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Angola,AGO,48.9099221945937,47.9088794417262,46.9078366888586,46.8077317869175,46.7076268849763,46.6075251163071,46.5074202143659,46.4073153124248,46.3072104104837,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Antigua and Barbuda,ATG,23.4090913425793,22.7272727272727,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,22.2727277062156,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Argentina,ARG,12.7135335021504,11.6418008616248,10.449119191432,10.3406667246747,10.2322149715989,10.1237625048416,10.0153107517658,9.90685828500853,9.79840581825125,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Armenia,ARM,11.7667720407446,11.6965226554268,11.6262732701089,11.6332986374089,11.6403229327883,11.6473483000884,11.6543725954678,11.6613979627678,11.6684233300678,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Aruba,ABW,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Australia,AUS,16.7320984600966,16.771149265194,16.0382958228655,16.0783879827656,16.1184801426656,16.1585723025656,16.1986644624657,16.2387566223657,16.2582780595994,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Austria,AUT,45.7253572293533,46.4761443448777,46.7476496906663,46.7751145400785,46.80088081547,46.8357354847977,46.862087450764,46.8839001438401,46.9057128369164,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Azerbaijan,AZE,10.2382926565485,10.5538404187757,12.1987518806178,12.5156674971075,12.8328778254808,13.1499281333018,13.4664853684559,13.783676509869,14.0996733412023,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,"Bahamas, The",BHS,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,51.4485514485514,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Bahrain,BHR,0.318840577982474,0.521126767279397,0.695538048052372,0.704041776979559,0.727272730369073,0.740259730970705,0.765239929248496,0.771208226614975,0.784061684289783,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Bangladesh,BGD,11.4772989168011,11.2775601136975,11.0778213105938,11.0578476178387,11.0378739250836,11.0178992945524,10.9979256017972,10.977951909042,10.9579782162869,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Barbados,BRB,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,14.6511632342671,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Belarus,BLR,38.3553539735752,40.7858410569907,42.0601281419418,42.1561302578729,42.2542004075083,42.3526911922255,42.4371678885104,42.53416462721,42.6301064968239,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Belgium,BEL,..,22.0376482098074,22.4966978932309,22.5112290174517,22.5257601416725,22.5402912658933,22.5548223901141,22.569353514335,22.5838846385558,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Belize,BLZ,70.8474366197668,63.976328313377,60.9991238337764,60.7790440647606,60.5589642957449,60.3393233590666,60.1192435900509,59.8991691726493,59.6790894036335,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Benin,BEN,51.0908123448031,44.8829372117772,40.4487406881873,40.0053210358283,39.5619013834693,39.1184817311103,38.6750620787513,38.2316424263923,37.7882227740334,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Bermuda,BMU,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,18.5185181914697,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Bhutan,BTN,53.6504519342409,65.4773869346734,70.9733209255041,71.2338328169917,71.494344708479,71.7548630049991,72.0153748964867,72.275624181637,72.484536714606,..,..,..
Forest area (% of land area),AG.LND.FRST.ZS,Bolivia,BOL,57.966398966122,55.4703221637589,51.8868272869934,51.6200498476876,51.3532724083818,51.086494969076,50.8197175297701,50.5529400904643,50.2861626511585,..,..,..
